,product_url,product_code,product_title,category,gender,color,sale_price,mrp,discount,star_rating,no_of_reviews,description,details
295,https://www.adidas.co.in/comfort-runner-shoes/HQ1737.html,HQ1737,Comfort Runner Shoes,Sportswear,Women,Cloud White / Cloud White / Matte Gold,8 999,8 999,0,0.0,0,"Get after you day in these adidas shoes. If that includes putting in some miles somewhere along the way, these set you up there too. Comfort is at the forefront of the modern design, so that wherever you need it — at work, on the move, in the zone — you have it. Flashes of gold and iridescent 3-Stripes add plenty of flare — not that you needed much help standing out.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Lace closure', 'Textile upper', 'Textile lining', 'Cloudfoam midsole', 'Rubber outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Cloud White / Cloud White / Matte Gold', 'Product code: HQ1737']"
296,https://www.adidas.co.in/znchill-lightmotion_-shoes/GZ4896.html,GZ4896,ZNCHILL LIGHTMOTION+ Shoes,Sportswear,Men,Cloud White / Core Black / Cloud White,11 999,11 999,0,4.9,31,"Just another example of adidas' sneaker genius. These 3-Stripes are set on top of a LIGHTMOTION midsole for comfy cushioning. A chunky rubber outsole adds grip when you're moving between slick and rough surfaces. There's no change of shoe needed, even with a busy schedule. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Lace closure', 'Textile upper', 'LIGHTMOTION cushioning', 'Textile lining', 'Rubber outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Cloud White / Core Black / Cloud White', 'Product code: GZ4896']"
297,https://www.adidas.co.in/gadgetso-shoes/EY3158.html,EY3158,GADGETSO SHOES,Running,Men,Dove Grey / Sonic Ink,2 649,5 299,50,4.2,35,These men's running shoes keep you comfortable so you stay focused on your training goals. They feature a lightweight breathable mesh upper and a full rubber outsole for traction and support. Gradation printing and dual colour branding gives this pair a stylish edge.,"['Mesh upper', 'Bounce midsole', 'Rubber outsole', 'Color: Dove Grey / Sonic Ink', 'Product code: EY3158']"
298,https://www.adidas.co.in/grand-court-shoes/FY8209.html,FY8209,Grand Court Shoes,Sportswear,Men,Cloud White / Crew Navy / Gum,6 599,6 599,0,4.6,116,"The heritage vibes are coming on strong in these adidas sneakers inspired by tennis greats of the past. Just because they look good, don't think we let the comfort levels slide. Superior cushioning and a built-in sockliner give your foot a hug all day long while you're kicking it around town.","['Regular fit', 'Lace closure', 'Polyurethane leather upper', 'Super comfortable feel', 'Cloudfoam Comfort sockliner', 'Textile lining', 'Rubber outsole', 'Color: Cloud White / Crew Navy / Gum', 'Product code: FY8209']"
299,https://www.adidas.co.in/galaxy-6-shoes/HP2419.html,HP2419,Galaxy 6 Shoes,Running,Men,Cloud White / Grey Five / Solar Red,5 999,5 999,0,4.6,193,"Lace up and go. These adidas running shoes will keep you comfortable, however late your day runs. A great everyday shoe, they have a light and airy mesh upper to keep your feet cool and a Cloudfoam midsole for springiness. The rubber outsole is designed to stay firm across all surfaces, from wet grass to slow clay. Switch up your plans without changing your shoes. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Regular fit', 'Lace closure', 'Textile upper', 'OrthoLite® sockliner', 'Cloudfoam midsole', 'Textile lining', 'Rubber outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Cloud White / Grey Five / Solar Red', 'Product code: HP2419']"
300,https://www.adidas.co.in/4dfwd-pulse-2.0-shoes/HP7617.html,HP7617,4DFWD Pulse 2.0 Shoes,Running,Women,Core Black / Silver Metallic / Lucid Fuchsia,15 999,15 999,0,0.0,0,"Your go-to sport may not be running, but you do it to gain a cross-training edge. These adidas running shoes are precisely coded to make it more fun, thanks to the 3D-printed 4D midsole. The angled lattice offers support and cushioning to glide your foot forward, making every stride feel easier. The breathable mesh upper flexes where you need it to for a smooth ride.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Lace closure', 'Engineered mesh upper', 'adidas 4D midsole', 'Textile lining', 'Weight: 295 g (size UK 5.5)', 'Midsole drop: 11 mm (heel: 32.3 mm / forefoot: 21.3 mm)', 'Continental™ Rubber outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Core Black / Silver Metallic / Lucid Fuchsia', 'Product code: HP7617']"
301,https://www.adidas.co.in/adilette-slides/GX9897.html,GX9897,Adilette Slides,Originals,Men,Core Black / Cloud White / Team Colleg Gold,3 999,3 999,0,4.5,222,"Team pride is all the time. At the game. In the city. By the pool. When you're wearing these adidas Adilette slides, your support for your football team is always on display. The classic design stands out with national colours.","['Slip-on', 'Synthetic bandage upper', 'Textile lining', 'Synthetic outsole', 'Color: Core Black / Cloud White / Team Colleg Gold', 'Product code: GX9897']"
302,https://www.adidas.co.in/adilette-boost-slides/GZ5313.html,GZ5313,Adilette Boost Slides,Swim,Unisex,Royal Blue / Cloud White / Cloud White,3 919,5 599,30,4.6,2163,"Transition from sandy beaches to busy streets in premium comfort all summer long. These slides feature a full-length, energy-returning midsole that cradles your foot with supreme cushioning. Classic 3-Stripes on the bandage-style upper show off your adidas style.","['Regular fit', 'Slip-on construction', 'Synthetic upper', 'Slides with Boost cushioning', 'Responsive Boost midsole', 'Color: Royal Blue / Cloud White / Cloud White', 'Product code: GZ5313']"
303,https://www.adidas.co.in/ultraboost-dna-city-explorer-outdoor-trail-running-sportswear-lifestyle-shoes/GY8353.html,GY8353,Ultraboost DNA City Explorer Outdoor Trail Running Sportswear Lifestyle Shoes,Sportswear,Women,Grey Three / Grey One / Carbon,17 999,17 999,0,4.0,3,"Lace up in these running shoes and explore side streets, back ways and city trails. They're designed with energy-returning BOOST cushioning for all-day comfort. adidas PRIMEKNIT provides a snug fit that flexes and supports you through every step. The all-terrain rubber outsole gives you traction on wet and dry surfaces so you can keep moving in all conditions.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Regular fit', 'Lace closure', 'adidas PRIMEKNIT textile upper', 'BOOST midsole', 'Fitcounter moulded heel counter', 'Weight: 343 g (size UK 5.5)', 'Midsole drop: 10 mm (heel: 24 mm / forefoot: 14 mm)', 'All-terrain Stretchweb outsole with Continental™ Rubber', 'Upper contains a minimum of 50% recycled content', 'Color: Grey Three / Grey One / Carbon', 'Product code: GY8353']"
304,https://www.adidas.co.in/slalon-slippers/GA1036.html,GA1036,SLALON SLIPPERS,Swim,Men,Carbon / Turbo,1 049,1 499,30,4.1,49,"These slippers are primed for warm-weather fun in a simple design with adidas graphic print on footbed. Features stylish webbing textile and synthetic straps, and textured rubber footbed and outsole. ","['Synthetic straps', 'Rubber outsole', 'Color: Carbon / Turbo', 'Product code: GA1036']"
305,https://www.adidas.co.in/solarglide-6-shoes/HP7655.html,HP7655,SOLARGLIDE 6 Shoes,Running,Women,Silver Dawn / Cloud White / Pulse Magenta,13 999,13 999,0,5.0,3,"There are shoes you can run in. And then there are your running shoes. The SOLARGLIDE 6 are the ones you lace up every day with goals in mind, like ramping up your mileage or aiming for a personal best. They've got the tech you need to keep you going farther, faster, including the responsive feel of BOOST cushioning. adidas LEP 2.0 guides each footstrike to propel you forward, and the Continental™ Rubber outsole gives you extraordinary traction in wet and dry conditions.","['Regular fit', 'Lace closure', 'Circular knit upper', 'BOOST midsole', 'adidas LEP 2.0', 'Weight: 273 g (size UK 5.5)', 'Midsole drop: 10 mm (heel: 36 mm / forefoot: 26 mm)', 'Continental™ Rubber outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Silver Dawn / Cloud White / Pulse Magenta', 'Product code: HP7655']"
306,https://www.adidas.co.in/znchill-sustainable-lifestyle-running-adizero-boston-sportswear-capsule-collection-shoes/ID4254.html,ID4254,ZNCHILL Sustainable Lifestyle Running Adizero Boston Sportswear Capsule Collection Shoes,Sportswear,Men,Cloud White / Solar Red / Better Scarlet,11 999,11 999,0,0.0,0,Fit in a jog or a gentle stretch even on the busiest days. These adidas running-style sneakers combine sleek looks with the technology you'd expect from performance runners. The uppers are light and breathable. LIGHTMOTION+ cushioning gives you next-level movement when it's time to pick up the pace.,"['Lace closure', 'Layered textile upper with seamless toe overlay', 'Light and breathable feel', 'Textile lining', 'LIGHTMOTION+ cushioning', 'Rubber outsole', 'Color: Cloud White / Solar Red / Better Scarlet', 'Product code: ID4254']"
307,https://www.adidas.co.in/supernova-2.0-x-parley-shoes/HP2240.html,HP2240,Supernova 2.0 x Parley Shoes,Running,Women,Non Dyed / Chalk White / Silver Dawn,11 999,11 999,0,0.0,0,"Who says running needs to be uncomfortable? These shoes are designed to help you run comfortable every time, on any terrain. From a precisely balanced mix of Bounce and increased BOOST in the midsole to a new padded tongue and heel patch construction, experience comfort with every step.

From raw material extraction, processing, packaging, all the way to the end of product's life, we calculate and communicate its carbon footprint, conforming to an internationally recognized standard: ISO 14067 

To reduce our footprint, we need to measure it. The concise footprint results made available to you below, cover the complete lifecycle of the product. This is just one of our initiatives to help reduce our footprint.","['Lace closure', 'Synthetic upper', 'Combined BOOST and Bounce midsole', 'Textile lining', 'Weight: 557.6 g (size UK 5.5)', 'Midsole drop: 9 mm (heel: 19 mm / forefoot: 10 mm)', 'TPU-injected outsole', 'Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester / Minimum 10% less emissions per pair when compared to its previous version', 'Color: Non Dyed / Chalk White / Silver Dawn', 'Product code: HP2240']"
308,https://www.adidas.co.in/alphaboost-v1-sustainable-boost-shoes/HP2761.html,HP2761,Alphaboost V1 Sustainable BOOST Shoes,Sportswear,Men,Carbon / Bright Red / Grey Three,11 999,11 999,0,3.9,33,"Step up your weekend look in these adidas Alphaboost shoes. Lace them up and hit the town. A Bounce midsole makes the ride soft and springy. BOOST on the heel returns energy as you go, so you're always light on your feet no matter where the afternoon takes you.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Regular fit', 'Lace closure', 'Mesh upper', 'Adiprene+ cushioning', 'Hybrid BOOST and Bounce midsole', 'Adiwear outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Carbon / Bright Red / Grey Three', 'Product code: HP2761']"
309,https://www.adidas.co.in/pureboost-22-shoes/GW0907.html,GW0907,Pureboost 22 Shoes,Running,Women,Core Black / Gold Metallic / Carbon,11 999,11 999,0,4.7,54,"You don't have to run far to feel the benefits of training. Slip on these adidas shoes and you're only a few miles away from a good mood. They're designed for short runs, with a BOOST midsole that offers incredible energy return with every step. The Stretchweb outsole flexes naturally for an energised ride, and Continental™ Rubber gives you superior traction.","['Regular fit', 'Lace closure', 'Textile upper', 'BOOST midsole', 'Textile lining', 'Midsole drop: 10 mm (heel: 20 mm / forefoot: 10 mm)', 'Stretchweb outsole with Continental™ Rubber', 'Upper contains a minimum of 50% recycled content', 'Color: Core Black / Gold Metallic / Carbon', 'Product code: GW0907']"
310,https://www.adidas.co.in/nmd_r1-shoes/GW5698.html,GW5698,NMD_R1 Shoes,Originals,Women,Core Black / Core Black / Cloud White,14 999,14 999,0,4.3,7,"With these adidas NMD_R1 shoes, all it takes is seconds. Seconds, and you're comfortable, ready to go, out the door. Because time moves fast, and these were designed to keep up with every part of the day by bringing together some of the best adidas technology. Plush BOOST cushioning balances out long hours on your feet, while the upper wraps the foot in unparalleled comfort. Since we were on the ease trip, we switched things up and replaced the laces with an elastic closure. Like we said — all it takes is seconds.","['Elastic closure', 'Textile upper', 'Textile lining', 'BOOST midsole', 'Rubber outsole', 'Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester', 'Color: Core Black / Core Black / Cloud White', 'Product code: GW5698']"
311,https://www.adidas.co.in/gazelle-shoes/GX2207.html,GX2207,Gazelle Shoes,Originals,Men,Blue / Cloud White / Gold Metallic,10 999,10 999,0,4.7,345,"A famed adidas trainer, the Gazelle got its start on indoor courts. Athletes loved that its style matched their club kits and that its design helped up their game. But it has long since retired from athletics. Away from sport, this shoe became an icon of city streets, worn by everyone from B-boys to football fans. And with this pair, you can count on all the signature details you love: the suede upper, T-toe design and metallic-gold logo. Because why mess with a classic?","['Regular fit', 'Lace closure', 'Suede and leather upper', 'Synthetic leather lining', 'Rubber outsole', 'Color: Blue / Cloud White / Gold Metallic', 'Product code: GX2207']"
312,https://www.adidas.co.in/alphabounce-slides/GY9415.html,GY9415,Alphabounce Slides,Sportswear,Unisex,Core Black / Cloud White / Core Black,5 599,5 599,0,4.7,159,"Feel like you're walking on clouds when returning home from the court. These basketball-style slides have flexible, lightweight Bounce cushioning to prove that comfort isn't reserved for the hardwood. 3-Stripes across the top show off your adidas DNA.","['Slip-on design', 'Synthetic upper', 'Soft foam lining', 'Contoured footbed', 'Bounce midsole', 'EVA outsole', 'Color: Core Black / Cloud White / Core Black', 'Product code: GY9415']"
313,https://www.adidas.co.in/adilette-slides/GX9894.html,GX9894,Adilette Slides,Originals,Men,Light Blue / Off White / Cloud White,3 999,3 999,0,4.5,222,"Team pride is all the time. At the game. In the city. By the pool. When you're wearing these adidas Adilette slides, your support for your football team is always on display. The classic design stands out with national colours.","['Slip-on', 'Synthetic bandage upper', 'Textile lining', 'Synthetic outsole', 'Color: Light Blue / Off White / Cloud White', 'Product code: GX9894']"
314,https://www.adidas.co.in/adi2000-shoes/HQ8688.html,HQ8688,Adi2000 Shoes,Originals,Men,Chalk White / Bright Royal / Off White,10 999,10 999,0,5.0,2,"These adidas Adi2000 shoes have Y2K in their DNA. Part skate influence, part B-ball influence, their cultural heritage can't be denied. A premium leather and suede upper rounds out the recipe for style in every stride.","['Regular fit', 'Lace closure', 'Leather and suede upper', 'Textile lining', 'Rubber outsole', 'Color: Chalk White / Bright Royal / Off White', 'Product code: HQ8688']"
315,https://www.adidas.co.in/niteball-shoes/FZ5742.html,FZ5742,Niteball Shoes,Originals,Men,Core Black / Grey Two / Carbon,12 999,12 999,0,5.0,1,"Embodying the playful spirit that defines basketball culture, these adidas Niteball shoes deliver an exciting level of energy, day or night. Their leather and suede upper gives an elevated vibe to the casual look, while iconic 3-Stripes offer fresh pops of colour. A Lightstrike midsole provides super-light cushioning for next-level speed. Lace up these shoes for confidence and style any day of the week.","['Regular fit', 'Lace closure', 'Leather and suede upper', 'Textile lining', 'Lightstrike cushioning', 'Rubber outsole', 'Color: Core Black / Grey Two / Carbon', 'Product code: FZ5742']"
316,https://www.adidas.co.in/supernova-2.0-shoes/HQ9940.html,HQ9940,Supernova 2.0 Shoes,Running,Men,Core Black / Halo Silver / Pulse Mint,9 999,9 999,0,4.8,5,"Who says running needs to be uncomfortable? These shoes are designed to help you run comfortable every time, on any terrain. From a precisely balanced mix of Bounce and increased BOOST in the midsole to a new padded tongue and heel patch construction, experience comfort with every step.

From raw material extraction, processing, packaging, all the way to the end of product's life, we calculate and communicate its carbon footprint, conforming to an internationally recognized standard: ISO 14067 

To reduce our footprint, we need to measure it. The concise footprint results made available to you below, cover the complete lifecycle of the product. This is just one of our initiatives to help reduce our footprint.","['Lace closure', 'Textile upper', 'BOOST and Bounce midsole cushioning', 'Textile lining', 'Weight: 278g (size UK 8.5)', 'Midsole drop: 9 mm (heel: 19 mm / forefoot: 10 mm)', 'Synthetic outsole', 'Upper contains a minimum of 50% recycled content / Minimum 10% less emissions per pair when compared to its previous version', 'Color: Core Black / Halo Silver / Pulse Mint', 'Product code: HQ9940']"
317,https://www.adidas.co.in/sport-inspired-throb-shoes/CM4882.html,CM4882,SPORT INSPIRED THROB SHOES,Running,Men,Dove Grey / Core Black / Silver Metallic,1 619,2 699,40,4.2,28,A fusion of modern comfort and adidas running roots. Breathable mesh upper for maximum ventilation and a cushioned IMEVA midsole provides all-day comfort with rubber outsole for best durability in high wear areas.,"['Mesh upper', 'Textile lining', 'IMEVA midsole', 'Rubber outsole', 'Color: Dove Grey / Core Black / Silver Metallic', 'Product code: CM4882']"
318,https://www.adidas.co.in/adilette-lite-slides/FU7592.html,FU7592,Adilette Lite Slides,Originals,Men,Grey Three / Cloud White / Grey Three,3 599,3 599,0,4.7,2208,"Full-time vacation vibes. These Adilette Lite Slides free your feet. (Or wear them with socks, no judgement here.) This pair features a super-soft footbed for an instantly comfy feel. There's an adidas Trefoil on top so you can feel sporty, even when you're lounging.","['Slip-on', 'Synthetic bandage upper', 'Super-soft feel', 'Cushioned sporty slides', 'Synthetic outsole', 'Color: Grey Three / Cloud White / Grey Three', 'Product code: FU7592']"
319,https://www.adidas.co.in/avryn-shoes/HP5973.html,HP5973,Avryn Shoes,Sportswear,Unisex,Chalk White / Cloud White / Core Black,13 999,13 999,0,4.0,1,"The next stars of your sneaker collection. These adidas running-style shoes add a sporty touch to any outfit, from distressed jeans to tailoring. The airy mesh upper has a modern, layered look while the chunky outsole combines the best of adidas tech. With energy-returning BOOST and Bounce cushioning, you can comfortably wear these kicks from your morning walk to an evening with friends.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Regular fit', 'Lace closure', 'Mesh upper with transparent mesh top layer', 'BOOST and Bounce midsole', 'TPU heel counter', 'Adiwear outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Chalk White / Cloud White / Core Black', 'Product code: HP5973']"
320,https://www.adidas.co.in/forum-low-shoes/HQ7096.html,HQ7096,Forum Low Shoes,Originals,Men,Talc / Sesame / Clay,9 999,9 999,0,4.3,6,"A timeless design that transcends its roots from the hardwood. The adidas Forum Low bridges the '80s to hoopers, skaters and those who just want to look good. It is hard to miss the signature X-panel, rubber cupsole and metallic-gold Trefoil nodding to its past while keeping up with modern style.","['Lace closure', 'Textile upper with polyurethane-coated leather, nubuck and suede overlays', 'Textile lining', 'Rubber cupsole', 'Color: Talc / Sesame / Clay', 'Product code: HQ7096']"
321,https://www.adidas.co.in/adilette-aqua-slides/FY8047.html,FY8047,Adilette Aqua Slides,Sportswear,Unisex,Solar Blue / Cloud White / Solar Blue,2 299,2 299,0,4.5,8944,"Rinse off after the pool in these shower-friendly sandals. Keeping it simple, the smooth slip-ons reveal their adidas DNA with signature 3-Stripes. Soft cushioning rewards tired feet with plush comfort.","['Regular fit', 'Slip-on construction', 'One-piece moulded EVA upper', 'EVA outsole', 'Soft Cloudfoam footbed', 'Lightweight feel; Quick-drying material', 'Color: Solar Blue / Cloud White / Solar Blue', 'Product code: FY8047']"
322,https://www.adidas.co.in/adilette-comfort-sandals/GV9712.html,GV9712,Adilette Comfort Sandals,Sportswear,Unisex,Core Black / Cloud White / Cloud White,4 599,4 599,0,4.7,1319,"Slide feet first into comfort. With a classic design, these adidas slides are the epitome of versatility and laid-back vibes. A contoured footbed delivers plush cushioning for all-day comfort. A stylish bandage upper features adidas branding.","['Regular fit', 'Slip-on construction', 'Bandage upper', 'Contoured footbed', 'EVA outsole', 'Color: Core Black / Cloud White / Cloud White', 'Product code: GV9712']"
323,https://www.adidas.co.in/ozweego-shoes/HP6388.html,HP6388,OZWEEGO Shoes,Originals,Men,Magic Grey / Magic Grey / Carbon,12 999,12 999,0,4.6,63,These adidas shoes bring '90s attitude to the present day. A premium suede upper keeps your feet toasty and warm in the cooler months while layers of cushioning ensure all-day comfort. Race around town knowing you're ahead of the pack.,"['Lace closure', 'Suede upper', 'Snug and soft', 'EVA midsole', 'Adiprene and Adiprene+ drop-ins', 'Rubber outsole', 'Color: Magic Grey / Magic Grey / Carbon', 'Product code: HP6388']"
324,https://www.adidas.co.in/adidas-4d-fwd-shoes/HP7650.html,HP7650,adidas 4D FWD Shoes,Running,Women,Wonder Quartz / Zero Metalic / Lucid Fuchsia,19 999,19 999,0,4.9,40,"These running shoes are built to keep you moving forward, whether you're new to running or have finished so many races you've lost count. The lattice design of the 3D-printed 4D midsole compresses with each step, reducing braking forces and propelling you ahead so that every stride feels more like gliding than stop-and-go pounding. The adidas PRIMEKNIT upper hugs the foot with a flexible fit that enhances movement.","['Lace closure', 'adidas PRIMEKNIT textile upper', 'Sock-like fit', 'adidas 4D midsole', 'Textile lining', 'Weight: 298 g (size UK 5.5)', 'Midsole drop: 11 mm (heel: 32 mm / forefoot: 21 mm)', 'Continental™ Rubber outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Wonder Quartz / Zero Metalic / Lucid Fuchsia', 'Product code: HP7650']"
325,https://www.adidas.co.in/courtphase-shoes/GX5948.html,GX5948,Courtphase Shoes,Sportswear,Men,Core Black / Carbon / Chalk White,8 599,8 599,0,4.5,24,"Heritage court DNA gets combined with modern, effortless style in these adidas shoes. Reflective elements are integrated onto the sleek coated leather upper. Iconic 3-Stripes style is conveyed with perforations. A vintage rubber cupsole grounds the look.","['Lace closure', 'Coated leather upper', 'Textile lining', 'Reflective details', 'Rubber cupsole', 'Color: Core Black / Carbon / Chalk White', 'Product code: GX5948']"
326,https://www.adidas.co.in/duramo-10-shoes/HP2372.html,HP2372,Duramo 10 Shoes,Running,Men,Grey Five / Court Green / Cloud White,4 619,6 599,30,4.6,993,"From a morning gym session to a day of errands to an evening with friends, keep your feet comfortable and your style on point in these adidas shoes. Pair them with your favourite running shorts for the ultimate athletic-casual vibe. A mesh upper helps you stay cool, while superlight cushioning cradles every step you take.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Regular fit', 'Lace closure', 'Sandwich mesh upper', 'Supportive no-sew overlays', 'Soft heel', 'LIGHTMOTION cushioning', 'Rubber outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Grey Five / Court Green / Cloud White', 'Product code: HP2372']"
327,https://www.adidas.co.in/dropset-trainer-shoes/HP7749.html,HP7749,Dropset Trainer Shoes,Training,Men,Grey Five / Grey Two / Cloud White,12 999,12 999,0,4.7,97,"Tackle your strength training and gym workouts without hesitation. These adidas shoes help you level up your game. A dropset midsole gives you a feeling of ground contact to encourage proper form and increase your confidence in your movements. Two different types of EVA cushioning give you stability on your heels and comfort on the front of your foot.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Regular fit', 'Lace closure', 'Textile upper with padded collar', 'Durable, stable feel', 'Textile lining', 'Dual-density midsole with softer forefoot and stiffer heel', 'Rubber outsole', 'Color: Grey Five / Grey Two / Cloud White', 'Product code: HP7749']"
328,https://www.adidas.co.in/adivat-shoes/EX2046.html,EX2046,ADIVAT SHOES,Running,Men,Core Black / Cloud White,1 889,2 699,30,4.2,97,Make running a part of your everyday routine in these men’s shoes. The mesh upper lets your feet breathe as you chase the thrill of a fast-paced run. Lightweight cushioning keeps your stride comfortable so you can push yourself further.,"['Mesh upper', 'EVA midsole and outsole for cushioned comfort', 'Color: Core Black / Cloud White', 'Product code: EX2046']"
329,https://www.adidas.co.in/ultraboost-dna-shoes/GV8712.html,GV8712,ULTRABOOST DNA SHOES,Sportswear,Men,Vivid Red / Vivid Red / Core Black,17 999,17 999,0,4.5,14,"Mind in the cosmos, heart on the planet. These adidas Ultraboost running shoes celebrate our partnership with NASA with Artemis badges on the tongue. Wear them for long walks in the city or while picking up trash on the beach. The upper hugs your foot in soft adidas Primeknit, and the Boost outsole offers comfort you'll have to feel to believe","['Lace closure', 'adidas Primeknit textile upper', 'Lightweight, breathable feel', 'Textile lining', 'Boost midsole', 'Weight: 312 g (size UK 8.5)', 'Midsole drop: 10 mm (heel: 22 mm / forefoot: 12 mm)', 'Stretchweb outsole with Continental™ Rubber', 'Primeblue', 'Yarn in upper contains at least 50% Parley Ocean Plastic\u202f and 50% recycled polyester', 'Color: Vivid Red / Vivid Red / Core Black', 'Product code: GV8712']"
330,https://www.adidas.co.in/racer-tr-slides/G58171.html,G58171,Racer TR Slides,Swim,Unisex,Royal Blue / Royal Blue / Solar Red,2 879,3 599,20,4.5,332,"Introduced in 1972, the beloved adidas Adilette slides have been much copied but never surpassed. Designed to transition seamlessly from the beach to the locker room to running errands around town, this version has a soft EVA bandage upper and a comfortable contoured footbed.","['Regular fit', 'Slip-on', 'EVA bandage upper', 'Lightweight', 'Textile lining', 'Injected EVA outsole', 'Color: Royal Blue / Royal Blue / Solar Red', 'Product code: G58171']"
331,https://www.adidas.co.in/adilette-lite-slides/FU8299.html,FU8299,Adilette Lite Slides,Originals,Men,Collegiate Navy / Cloud White / Collegiate Navy,3 599,3 599,0,4.7,2208,"Full-time vacation vibes. These Adilette Lite Slides free your feet. (Or wear them with socks, no judgement here.) This pair features a super-soft footbed for an instantly comfy feel. There's an adidas Trefoil on top so you can feel sporty, even when you're lounging.","['Slip-on', 'Synthetic bandage upper', 'Super-soft feel', 'Cushioned sporty slides', 'Synthetic outsole', 'Color: Collegiate Navy / Cloud White / Collegiate Navy', 'Product code: FU8299']"
332,https://www.adidas.co.in/superstar-82-shoes/IG4691.html,IG4691,Superstar 82 Shoes,Originals,Men,Core Black / Core Black / Grey Six,13 999,13 999,0,5.0,1,"When only the most authentic will do, you grab your adidas Superstar 82 Shoes. A tribute to the basketball trainer turned style icon, they honour a version from the 1980s. The retro shape and details look like they just stepped out of the past, from the signature shell toe to the serrated 3-Stripes and heel tab. Premium leather elevates your style, no matter what you pair them with.","['Lace closure', 'Leather upper', 'Textile lining', 'Rubber outsole', 'Color: Core Black / Core Black / Grey Six', 'Product code: IG4691']"
333,https://www.adidas.co.in/alphabounce_-sustainable-bounce-shoes/HP6140.html,HP6140,Alphabounce+ Sustainable Bounce Shoes,Sportswear,Men,Carbon / Grey Four / Screaming Orange,8 999,8 999,0,4.0,11,"Go for that walk around the neighbourhood or head to the gym in a pair of adidas Alphabounce+ shoes. The mesh upper is soft and breathable to keep you comfortable as you go. A Bounce midsole makes the ride soft and springy while Cloudfoam on the heel cushions every step, so you can cruise smoothly through the day.","['Regular fit', 'Lace closure', 'Mesh upper', 'Textile lining', 'Hybrid Bounce and Cloudfoam midsole', 'Adiwear outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Carbon / Grey Four / Screaming Orange', 'Product code: HP6140']"
334,https://www.adidas.co.in/ultraboost-22-shoes/GX5589.html,GX5589,ULTRABOOST 22 SHOES,Running,Women,Crystal White / Turbo / Legacy Indigo,10 799,17 999,40,4.7,1390,"With the help of 1.2 million foot scans, we updated Ultraboost with a complete 360° female fit improvement. And we didn't stop there. We re-engineered the rubber outsole. We tested hundreds of prototypes. We kept going until we saw visible improvements in performance. The result? 4% more forefoot energy return, compared to Ultraboost 21 for women. The adidas PRIMEKNIT upper includes a narrower heel fit, designed to avoid heel slip and blisters. You'll be riding on a BOOST midsole with a Linear Energy Push system. The shoe's upper is made with yarn containing 50% Parley Ocean Plastic —  reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean.","['Regular fit', 'Lace closure', 'adidas PRIMEKNIT textile upper', 'Soft heel fit', 'Linear Energy Push system', 'BOOST midsole', 'Weight: 289 g (size UK 5.5)', 'Stretchweb outsole with Continental™ Better Rubber', 'Yarn in upper contains at least 50% Parley Ocean Plastic\u202f and 50% recycled polyester', 'Color: Crystal White / Turbo / Legacy Indigo', 'Product code: GX5589']"
337,https://www.adidas.co.in/ultraboost-cc_2-dna-climacool-running-sportswear-lifestyle-shoes/GV8758.html,GV8758,Ultraboost CC_2 DNA Climacool Running Sportswear Lifestyle Shoes,Sportswear,Men,Core Black / Beam Pink / Beam Yellow,17 999,17 999,0,4.8,79,"How could the iconic Ultraboost get any better? We asked that question and came up with the answer — infuse it with DNA from an archival cult classic, the Climacool. Here it is, with all of the premier features from those heritage running shoes, including foot-hugging adidas PRIMEKNIT and responsive BOOST cushioning. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Regular fit', 'Lace closure', 'adidas PRIMEKNIT upper', 'Fitcounter moulded heel counter', 'BOOST midsole', 'Textile lining', 'Stretchweb outsole with Continental™ Rubber', 'Upper contains a minimum of 50% recycled content', 'Color: Core Black / Beam Pink / Beam Yellow', 'Product code: GV8758']"
